iter	Passed	Remaining
528	13881	12359
529	13905	12331
530	13929	12302
531	13953	12275
532	13977	12246
533	14004	12221
534	14028	12193
535	14052	12165
536	14076	12137
537	14100	12108
538	14124	12080
539	14147	12051
540	14172	12023
541	14196	11996
542	14222	11969
543	14248	11943
544	14271	11915
545	14296	11887
546	14321	11860
547	14343	11831
548	14367	11802
549	14391	11774
550	14415	11746
551	14439	11718
552	14462	11690
553	14487	11663
554	14510	11634
555	14535	11607
556	14559	11579
557	14583	11551
558	14605	11522
559	14633	11497
560	14661	11473
561	14708	11462
562	14758	11455
563	14784	11429
564	14812	11404
565	14848	11385
566	14894	11374
567	14918	11346
568	14942	11318
569	14964	11289
570	14989	11262
571	15014	11234
572	15038	11206
573	15062	11178
574	15086	11151
575	15110	11122
576	15135	11096
577	15160	11068
578	15186	11042
579	15210	11014
580	15235	10987
581	15259	10959
582	15287	10934
583	15310	10906
584	15335	10878
585	15358	10850
586	15382	10822
587	15407	10795
588	15431	10768
589	15455	10740
590	15484	10716
591	15523	10698
592	15554	10675
593	15584	10651
594	15613	10627
595	15638	10600
596	15663	10573
597	15688	10546
598	15716	10521
599	15745	10497
600	15771	10470
601	15803	10448
602	15834	10425
603	15859	10398
604	15887	10372
605	15913	10346
606	15938	10319
607	15966	10294
608	15996	10270
609	16025	10245
610	16049	10218
611	16076	10192
612	16100	10164
613	16123	10136
614	16148	10109
615	16170	10080
616	16195	10053
617	16218	10025
618	16242	9997
619	16267	9970
620	16292	9943
621	16316	9915
622	16338	9887
623	16364	9860
624	16388	9832
625	16412	9805
626	16435	9777
627	16460	9750
628	16485	9723
629	16510	9696
630	16536	9670
631	16561	9643
632	16585	9616
633	16616	9592
634	16641	9565
635	16665	9538
636	16689	9510
637	16716	9484
638	16742	9458
639	16768	9432
640	16793	9405
641	16817	9377
642	16841	9350
643	16866	9323
644	16892	9297
645	16919	9271
646	16944	9244
647	16968	9217
648	16992	9190
649	17015	9162
650	17040	9135
651	17064	9108
652	17087	9080
653	17112	9053
654	17136	9025
655	17162	9000
656	17186	8972
657	17212	8946
658	17235	8918
659	17258	8890
660	17285	8865
661	17310	8838
662	17334	8811
663	17358	8783
664	17383	8756
665	17407	8729
666	17432	8703
667	17455	8675
668	17480	8648
669	17503	8621
670	17528	8594
671	17554	8568
672	17583	8543
673	17614	8519
674	17644	8495
675	17676	8472
676	17707	8448
677	17733	8422
678	17761	8396
679	17787	8370
680	17810	8342
681	17836	8316
682	17862	8290
683	17887	8264
684	17932	8246
685	17975	8228
686	18013	8207
687	18058	8189
688	18090	8165
689	18115	8138
690	18137	8110
691	18163	8084
692	18190	8058
693	18215	8031
694	18239	8004
695	18263	7977
696	18288	7950
697	18312	7923
698	18337	7896
699	18363	7870
700	18386	7842
701	18411	7815
702	18436	7789
703	18461	7762
704	18485	7734
705	18509	7707
706	18533	7680
707	18560	7655
708	18589	7629
709	18616	7603
710	18641	7577
711	18666	7550
712	18692	7524
713	18719	7498
714	18746	7472
715	18770	7445
716	18793	7417
717	18819	7391
718	18844	7364
719	18869	7338
720	18894	7311
721	18921	7285
722	18947	7259
723	18971	7232
724	18995	7205
725	19019	7177
726	19042	7150
727	19067	7124
728	19092	7097
729	19115	7070
730	19139	7043
731	19163	7016
732	19187	6989
733	19211	6962
734	19236	6935
735	19262	6909
736	19288	6883
737	19316	6857
738	19342	6831
739	19367	6804
740	19392	6778
741	19416	6751
742	19442	6725
743	19468	6698
744	19492	6672
745	19516	6645
746	19542	6618
747	19566	6591
748	19592	6565
749	19620	6540
750	19654	6516
751	19679	6490
752	19713	6466
753	19749	6443
754	19781	6419
755	19804	6392
756	19828	6365
757	19852	6338
758	19877	6311
759	19902	6284
760	19926	6258
761	19951	6231
762	19976	6205
763	20001	6178
764	20024	6151
765	20048	6124
766	20073	6097
767	20096	6070
768	20120	6044
769	20147	6018
770	20170	5991
771	20194	5964
772	20218	5937
773	20243	5910
774	20266	5883
775	20290	5856
776	20315	5830
777	20337	5803
778	20362	5776
779	20386	5750
780	20413	5724
781	20436	5697
782	20461	5670
783	20483	5643
784	20509	5617
785	20532	5590
786	20555	5563
787	20582	5537
788	20609	5511
789	20634	5485
790	20657	5458
791	20684	5432
792	20707	5405
793	20733	5379
794	20756	5352
795	20779	5325
796	20801	5298
797	20827	5272
798	20852	5245
799	20876	5219
800	20902	5193
801	20924	5165
802	20952	5140
803	20977	5113
804	21001	5087
805	21025	5060
806	21050	5034
807	21076	5008
808	21120	4986
809	21166	4965
810	21195	4939
811	21225	4914
812	21273	4893
813	21307	4868
814	21331	4842
815	21358	4816
816	21380	4789
817	21405	4762
818	21429	4736
819	21454	4709
820	21478	4682
821	21504	4656
822	21529	4630
823	21552	4603
824	21582	4578
825	21608	4551
826	21634	4525
827	21662	4499
828	21698	4475
829	21724	4449
830	21749	4423
831	21774	4396
832	21808	4372
833	21837	4346
834	21868	4321
835	21896	4295
836	21920	4268
837	21943	4242
838	21968	4215
839	21992	4188
840	22018	4162
841	22042	4136
842	22066	4109
843	22089	4082
844	22114	4056
845	22140	4030
846	22163	4003
847	22186	3976
848	22210	3950
849	22236	3924
850	22262	3897
851	22290	3872
852	22321	3846
853	22346	3820
854	22371	3794
855	22398	3767
856	22428	3742
857	22460	3717
858	22486	3691
859	22511	3664
860	22536	3638
861	22562	3612
862	22590	3586
863	22616	3559
864	22638	3533
865	22663	3506
866	22691	3480
867	22717	3454
868	22742	3428
869	22765	3401
870	22789	3375
871	22813	3348
872	22837	3322
873	22862	3295
874	22887	3269
875	22909	3242
876	22938	3217
877	22965	3191
878	22992	3165
879	23016	3138
880	23042	3112
881	23066	3085
882	23091	3059
883	23115	3033
884	23142	3007
885	23166	2980
886	23188	2954
887	23213	2927
888	23238	2901
889	23262	2875
890	23285	2848
891	23309	2822
892	23337	2796
893	23360	2769
894	23383	2743
895	23408	2717
896	23433	2690
897	23459	2664
898	23483	2638
899	23508	2612
900	23532	2585
901	23559	2559
902	23587	2533
903	23612	2507
904	23635	2481
905	23661	2454
906	23687	2428
907	23717	2403
908	23748	2377
909	23772	2351
910	23797	2324
911	23823	2298
912	23847	2272
913	23872	2246
914	23905	2220
915	23935	2194
916	23963	2169
917	23989	2142
918	24017	2116
919	24041	2090
920	24067	2064
921	24093	2038
922	24120	2012
923	24142	1985
924	24167	1959
925	24191	1933
926	24215	1906
927	24240	1880
928	24265	1854
929	24289	1828
930	24335	1803
931	24381	1778
932	24412	1753
933	24445	1727
934	24493	1702
935	24521	1676
936	24550	1650
937	24575	1624
938	24599	1598
939	24623	1571
940	24647	1545
941	24678	1519
942	24704	1493
943	24727	1466
944	24754	1440
945	24779	1414
946	24804	1388
947	24829	1361
948	24854	1335
949	24880	1309
950	24911	1283
951	24947	1257
952	24980	1232
953	25007	1205
954	25032	1179
955	25057	1153
956	25083	1127
957	25107	1100
958	25132	1074
959	25157	1048
960	25181	1021
961	25207	995
962	25230	969
963	25254	943
964	25277	916
965	25301	890
966	25325	864
967	25354	838
968	25379	811
969	25404	785
970	25428	759
971	25452	733
972	25475	706
973	25500	680
974	25525	654
975	25551	628
976	25580	602
977	25605	575
978	25630	549
979	25656	523
980	25682	497
981	25708	471
982	25733	445
983	25761	418
984	25792	392
985	25819	366
986	25844	340
987	25869	314
988	25895	288
989	25919	261
990	25948	235
991	25979	209
992	26009	183
993	26038	157
994	26060	130
995	26084	104
996	26109	78
997	26134	52
998	26158	26
999	26182	0
